nconst,averageRating,primaryName,coefficients,count,predictRating
nm0000154,6.644117647058825,Mel Gibson,0.4252834929367863,34,6.643992563678545
nm0000155,5.934615384615385,Whoopi Goldberg,-0.09936823459493802,26,5.934653603167163
nm0000156,6.141666666666667,Jeff Goldblum,-0.07325821717099833,24,6.141697190923824
nm0000157,6.055555555555555,Linda Hamilton,-0.1057635996470482,9,6.055673070666273
nm0000158,7.157500000000001,Tom Hanks,0.29309652051649715,40,7.157426725869877
nm0000159,6.4,Teri Hatcher,-0.20819582241226392,5,6.400416391644822
nm0000160,6.524000000000002,Ethan Hawke,0.188362044216771,50,6.523962327591153
nm0000161,5.937837837837836,Salma Hayek,-0.4834780810340533,37,5.937968507589468
nm0000162,5.875000000000001,Anne Heche,-0.15281118211071887,20,5.875076405591058
nm0000163,6.695833333333333,Dustin Hoffman,0.15460308297505101,24,6.695768915382096
nm0000164,6.5120000000000005,Anthony Hopkins,0.0013278814847363998,50,6.511999734423702
nm0000165,6.938095238095237,Ron Howard,0.6476946142512819,21,6.937786812088454
nm0000166,6.333333333333333,Helen Hunt,0.2847392051690496,21,6.333197743235634
nm0000167,5.5625,Elizabeth Hurley,-0.699373639124784,8,5.563374217048903
nm0000168,6.396052631578948,Samuel L. Jackson,-0.012680008217766449,76,6.3960543000010786
nm0000169,6.330555555555555,Tommy Lee Jones,0.015101979126108934,36,6.330551360561353
nm0000170,5.80344827586207,Milla Jovovich,-0.1600155210484873,29,5.803503453627951
nm0000171,6.157692307692305,Ashley Judd,-0.02119874776776049,26,6.157700461056832
nm0000172,6.347619047619048,Harvey Keitel,0.18876568643060473,42,6.34757410340799
nm0000173,6.443137254901961,Nicole Kidman,-0.07307238336127103,51,6.443151582820266
nm0000174,5.654545454545454,Val Kilmer,-0.20721118708450015,44,5.654592547997066
nm0000176,5.658333333333334,Nastassja Kinski,-0.286976681567765,12,5.658572480567972
nm0000177,6.413793103448277,Kevin Kline,-0.09793691904546739,29,6.413826874799671
nm0000178,6.372000000000001,Diane Lane,-0.08755547797784366,25,6.372035022191191
nm0000179,6.636842105263157,Jude Law,0.0915479983429905,38,6.6368180136846515
nm0000181,5.9,Heather Locklear,-0.02088861774483341,4,5.900052221544359
nm0000182,5.791666666666667,Jennifer Lopez,-0.6215167917913931,24,5.7919256319965795
nm0000183,4.625,Traci Lords,-1.1114235397022643,4,4.627778558849258
nm0000184,6.833333333333333,George Lucas,1.172747587621629,3,6.829424174707903
nm0000185,4.68148148148148,Dolph Lundgren,-1.0260361797984063,54,4.681671488181449
nm0000186,7.5,David Lynch,1.3385655572413075,8,7.498326793053449
nm0000187,5.61,Madonna,-0.7374026653753083,10,5.610737402665367
nm0000188,6.096,Steve Martin,-0.2256966644386728,25,6.096090278665777
nm0000189,3.733333333333333,Jenny McCarthy,-0.8496660832021656,3,3.7361655536106766
