tconst,averageRating,numVotes,originalTitle,startYear,predictRating,residuals
tt0100107,5.9,6863,Maniac Cop 2,1990,5.252972414906999,0.6470275850930012
tt0100112,7.3,9440,Le mari de la coiffeuse,1990,7.28630679595877,0.01369320404123009
tt0100114,6.0,21098,Marked for Death,1990,5.7082356579090225,0.29176434209097746
tt0100129,5.5,2341,Meet the Applegates,1990,6.151688268802726,-0.6516882688027259
tt0100133,6.9,27662,Memphis Belle,1990,6.683638140360266,0.21636185963973453
tt0100134,6.7,2517,Men Don't Leave,1990,6.574718919171628,0.12528108082837175
tt0100135,6.0,23977,Men at Work,1990,5.811094451160297,0.18890554883970267
tt0100140,6.7,30217,Mermaids,1990,5.737538733644489,0.9624612663555112
tt0100142,7.4,10628,Metropolitan,1990,6.935540112748082,0.4644598872519188
tt0100143,6.4,8363,Miami Blues,1990,7.073500501523427,-0.673500501523427
tt0100150,7.7,131025,Miller's Crossing,1990,7.511778878670015,0.18822112132998559
tt0100151,7.6,3016,Mindwalk,1990,7.467609575753828,0.13239042424617153
tt0100152,5.3,2411,Mindwarp,1991,6.4198190084701485,-1.1198190084701487
tt0100156,5.7,1651,Mirror Mirror,1990,4.767665315197395,0.9323346848026048
tt0100157,7.8,195410,Misery,1990,6.593096197354318,1.206903802645682
tt0100161,6.1,2542,Mister Frost,1990,5.762632094049317,0.3373679059506829
tt0100168,6.6,12106,Mo' Better Blues,1990,7.26728120265127,-0.66728120265127
tt0100196,7.2,3588,Mountains of the Moon,1990,6.29020182933228,0.9097981706677203
tt0100200,6.6,2990,Mr. & Mrs. Bridge,1990,6.564127339267681,0.035872660732318984
tt0100201,6.4,12124,Mr. Destiny,1990,5.854806485047923,0.5451935149520777
tt0100212,6.3,19862,My Blue Heaven,1990,6.2484336782641465,0.05156632173585329
tt0100224,6.6,8721,Narrow Margin,1990,6.396298953821119,0.20370104617888085
tt0100232,5.6,16383,Navy Seals,1990,4.858591167732508,0.7414088322674912
tt0100234,8.3,18003,Nema-ye Nazdik,1990,7.1991816518203855,1.1008183481796152
tt0100240,5.2,25408,The NeverEnding Story II: The Next Chapter,1990,5.531026450516216,-0.33102645051621593
tt0100258,6.9,40549,Night of the Living Dead,1990,5.351894181880168,1.548105818119832
tt0100260,6.5,21492,Nightbreed,1990,5.851123448404514,0.6488765515954862
tt0100263,7.3,69771,Nikita,1990,7.010214949030777,0.2897850509692228
tt0100274,6.8,1443,Nouvelle vague,1990,5.100995121147979,1.699004878852021
tt0100280,6.0,8004,Nuns on the Run,1990,6.232884853156062,-0.23288485315606167
tt0100281,6.9,2328,The Nutcracker Prince,1990,6.4357321177162525,0.4642678822837478
tt0100301,6.1,3031,Opportunity Knocks,1990,5.416338893162249,0.6836611068377509
tt0100303,6.1,2647,L'opération Corned Beef,1991,6.017461021696393,0.08253897830360657
tt0100318,6.4,19433,Pacific Heights,1990,5.522480658834798,0.8775193411652022
tt0100337,7.4,1079,Pasport,1990,7.001834158290734,0.3981658417092664
tt0100369,6.0,4588,The Pit and the Pendulum,1991,5.891292236861067,0.10870776313893327
tt0100395,6.7,16651,Postcards from the Edge,1990,6.651305128625155,0.048694871374845405
tt0100403,6.3,153828,Predator 2,1990,6.18081006901798,0.11918993098201991
tt0100404,6.9,39937,Presumed Innocent,1990,6.3371686529948335,0.5628313470051669
tt0100405,7.0,304274,Pretty Woman,1990,5.911835337259018,1.088164662740982
tt0100419,5.4,29787,Problem Child,1990,6.41962825436912,-1.0196282543691195
tt0100436,7.2,27553,Pump Up the Volume,1990,6.751634466312216,0.44836553368778453
tt0100442,6.6,5813,Q & A,1990,6.141270288038588,0.45872971196141155
tt0100449,6.8,20048,Quick Change,1990,6.495892449020166,0.30410755097983344
tt0100456,5.9,1386,The Rainbow Thief,1990,6.525397144795716,-0.6253971447957154
tt0100469,6.8,8064,The Reflecting Skin,1990,6.565943378780631,0.2340566212193691
tt0100475,4.8,8535,Repossessed,1990,5.61794253286365,-0.8179425328636505
tt0100477,6.9,40594,The Rescuers Down Under,1990,5.9831899519983445,0.9168100480016559
tt0100485,6.2,17892,Revenge,1990,6.52210604180378,-0.3221060418037798
tt0100486,7.2,15821,Reversal of Fortune,1990,6.633677100745915,0.566322899254085
tt0100491,7.1,4396,Riff-Raff,1991,6.895751388880288,0.20424861111971193
tt0100496,6.2,1992,Ripoux contre ripoux,1990,6.305637843651127,-0.1056378436511265
tt0100502,5.8,83790,RoboCop 2,1990,5.669527961355424,0.13047203864457568
tt0100504,4.9,1175,Rock 'n' Roll High School Forever,1991,5.142139339452594,-0.24213933945259392
tt0100507,5.3,131828,Rocky V,1990,6.12105313260559,-0.8210531326055905
tt0100514,5.9,26509,The Rookie,1990,6.219592705063647,-0.3195927050636467
tt0100519,7.4,21492,Rosencrantz & Guildenstern Are Dead,1990,5.645820186308374,1.7541798136916267
tt0100530,6.1,15555,The Russia House,1990,5.809566012738867,0.29043398726113256
tt0100536,6.7,1014,S'en fout la mort,1990,6.633417560894646,0.06658243910535422
tt0100581,6.2,2660,La setta,1991,6.439952346777343,-0.23995234677734256
tt0100586,5.1,1062,Shadowzone,1990,5.164390799922608,-0.06439079992260854
tt0100589,5.0,1987,Shakma,1990,4.387763183602926,0.6122368163970737
tt0100594,6.8,12333,The Sheltering Sky,1990,6.577939976155674,0.22206002384432555
tt0100602,6.7,4693,A Shock to the System,1990,6.182258408003943,0.5177415919960575
tt0100604,6.5,2272,Short Time,1990,6.250219386532033,0.24978061346796743
tt0100608,5.7,1263,The Shrimp on the Barbie,1990,5.318416567229677,0.3815834327703236
tt0100611,5.4,2662,Sibling Rivalry,1990,5.27626848498854,0.1237315150114604
tt0100613,5.5,1995,Side Out,1990,5.7221030223670715,-0.22210302236707147
tt0100625,6.9,3401,Sien lui yau wan II: Yan gaan dou,1990,6.672089426895104,0.22791057310489649
tt0100649,4.0,1883,Solar Crisis,1990,5.210373422623035,-1.210373422623035
tt0100663,4.9,2117,Sorority House Massacre II,1990,4.531626602017823,0.36837339798217705
tt0100665,2.4,3821,Soultaker,1990,4.429455398081327,-2.029455398081327
tt0100666,5.4,3450,Spaced Invaders,1990,6.099112088116577,-0.6991120881165767
tt0100680,6.4,7649,Stanley & Iris,1990,6.697589004703033,-0.29758900470303296
tt0100681,7.7,3849,Stanno tutti bene,1990,7.072435937353386,0.6275640626466146
tt0100685,7.2,21693,State of Grace,1990,6.8242205492054655,0.3757794507945347
tt0100691,6.2,2571,Stella,1990,6.411701388197054,-0.21170138819705375
tt0100740,6.3,16398,Tales from the Darkside: The Movie,1990,6.366377741280197,-0.06637774128019736
tt0100747,7.1,3452,Tatie Danielle,1990,6.40933700508798,0.69066299491202
tt0100757,7.4,1754,Taksi-blyuz,1990,7.1193602332395045,0.28063976676049585
tt0100758,6.8,89204,Teenage Mutant Ninja Turtles,1990,6.065089769419059,0.7349102305809412
tt0100777,7.4,1124,Tin joek yau ching,1990,7.231640165525689,0.16835983447431158
tt0100791,7.2,2330,To Sleep with Anger,1990,6.457536293197826,0.742463706802174
tt0100802,7.5,314787,Total Recall,1990,6.583652685976972,0.916347314023028
tt0100814,7.1,128777,Tremors,1990,6.4787228225148334,0.6212771774851662
tt0100822,6.2,1844,Tune in Tomorrow...,1990,6.683655839601171,-0.48365583960117053
tt0100827,6.1,6693,Due occhi diabolici,1990,5.104866791294553,0.9951332087054467
tt0100828,6.2,13472,The Two Jakes,1990,6.3514065648079345,-0.15140656480793435
tt0100851,7.1,1224,Uranus,1990,6.7955161024612085,0.3044838975387911
tt0100873,6.9,3835,Vincent & Theo,1990,6.822875088985481,0.07712491101451935
tt0100881,5.1,1127,Voci dal profondo,1994,5.103359178951138,-0.00335917895113802
tt0100904,4.3,1078,Watchers II,1990,4.358650229862277,-0.05865022986227686
tt0100911,5.9,5304,"Welcome Home, Roxy Carmichael",1990,6.225196855571017,-0.32519685557101674
tt0100912,6.7,5557,Werner - Beinhart!,1990,5.967556493281283,0.7324435067187176
tt0100924,6.0,1616,Where the Heart Is,1990,5.68497335654834,0.3150266434516604
tt0100928,6.6,11853,White Hunter Black Heart,1990,6.481802618257806,0.11819738174219374
tt0100931,6.0,1148,Why Me?,1990,5.466653774849433,0.5333462251505674
tt0100935,7.2,88975,Wild at Heart,1990,7.106096645349637,0.09390335465036337
tt0100944,6.9,46733,The Witches,1990,6.637658813209109,0.26234118679089136
tt0100963,6.9,3562,Mo jong yuen So Hak Yee,1992,6.739816269269417,0.16018373073058356
tt0100973,6.9,2238,Siu ngo gong woo,1990,6.941973189110588,-0.04197318911058723
tt0100975,3.4,1644,Xtro II: The Second Encounter,1991,4.571436473878791,-1.1714364738787908
tt0100991,5.9,1219,Yôkai hantâ: Hiruko,1991,6.666247612490647,-0.7662476124906465
tt0100994,6.5,34235,Young Guns II,1990,6.068658295246336,0.43134170475366407
tt0100998,7.8,25280,Yume,1990,8.180450465673617,-0.3804504656736176
tt0101004,4.4,3670,Zandalee,1991,4.53232488313553,-0.1323248831355297
tt0101020,6.8,6258,Chung hang sei hoi,1991,6.36860573401433,0.43139426598567
tt0101025,7.1,2678,"¡Ay, Carmela!",1990,7.664644435378735,-0.5646444353787352
tt0101244,6.5,1022,100 Days,1991,5.860478475586147,0.639521524413853
tt0101252,7.3,2793,29th Street,1991,6.346963644642258,0.9530363553577414
tt0101256,4.3,1666,976-Evil II,1991,5.29497873327367,-0.9949787332736699
tt0101258,7.5,20269,Ah Fei jing juen,1990,7.387845182591111,0.11215481740888933
tt0101264,2.9,2034,Abraxas: Guardian of the Universe,1990,5.286873963022194,-2.3868739630221945
tt0101268,5.8,2331,Across the Tracks,1990,6.452252406667019,-0.652252406667019
tt0101272,6.9,142759,The Addams Family,1991,6.370219913800018,0.529780086199982
tt0101273,6.7,3365,The Adjuster,1991,7.232120596320907,-0.5321205963209072
tt0101276,5.7,1149,Afraid of the Dark,1991,5.674382365870367,0.025617634129632805
tt0101279,8.1,3664,Agantuk,1991,7.17378207003489,0.9262179299651097
tt0101283,5.3,1262,Ajooba,1991,5.748174555518774,-0.44817455551877394
tt0101301,6.0,4758,All I Want for Christmas,1991,5.879703270847659,0.12029672915234091
tt0101309,3.8,2188,Alligator II: The Mutation,1991,5.16681909395682,-1.3668190939568206
tt0101316,6.9,20254,L'amant,1992,6.974724819214634,-0.0747248192146337
tt0101317,7.0,2911,Amantes,1991,6.510330403221499,0.4896695967785014
tt0101318,7.6,13454,Les amants du Pont-Neuf,1991,7.255665587609594,0.3443344123904053
tt0101326,4.0,4839,American Ninja 4: The Annihilation,1990,3.3748894713872937,0.6251105286127063
tt0101327,5.9,1397,American Shaolin,1991,6.2598736971704545,-0.35987369717045414
tt0101329,6.5,24989,An American Tail: Fievel Goes West,1991,6.5066593178520025,-0.0066593178520024665
tt0101356,5.4,3867,Another You,1991,6.349722868556824,-0.9497228685568233
tt0101371,6.1,3193,Article 99,1992,5.997633741495707,0.1023662585042926
tt0101373,6.8,3293,At Play in the Fields of the Lord,1991,6.357537561401389,0.4424624385986107
tt0101376,6.6,1848,Atlantis,1991,6.761502941146425,-0.16150294114642527
tt0101393,6.7,76127,Backdraft,1991,6.92462399893509,-0.22462399893508955
tt0101410,7.7,117088,Barton Fink,1991,7.3481060298790855,0.3518939701209147
tt0101412,4.1,3243,Beastmaster 2: Through the Portal of Time,1991,4.7378411196047026,-0.6378411196047029
tt0101414,8.0,428538,Beauty and the Beast,1991,8.1140297878692,-0.1140297878691996
tt0101428,7.6,7833,La Belle Noiseuse,1991,6.744625154142349,0.8553748458576509
tt0101437,6.3,2021,Beta,1992,6.117605327628558,0.18239467237144158
tt0101444,6.5,1853,Big Girls Don't Cry... They Get Even,1991,6.66496106127538,-0.16496106127538024
tt0101448,3.6,1771,Bikini Island,1991,4.843057587072147,-1.2430575870721472
tt0101452,6.3,73028,Bill & Ted's Bogus Journey,1991,6.267988618349339,0.032011381650661086
tt0101453,5.9,11740,Billy Bathgate,1991,5.908603777860586,-0.008603777860585637
tt0101455,4.9,2834,Bingo,1991,5.506965381310005,-0.6069653813100047
tt0101458,6.8,9806,Bis ans Ende der Welt,1991,6.661303259987059,0.13869674001294108
tt0101465,7.1,6864,Black Robe,1991,6.9493368862592995,0.15066311374070018
tt0101492,5.6,4263,Body Parts,1991,6.196032241219539,-0.5960322412195396
tt0101502,5.3,1731,The Borrower,1991,5.680170671017005,-0.3801706710170052
tt0101507,7.8,133111,Boyz n the Hood,1991,6.917854969037607,0.882145030962393
tt0101516,6.8,27837,Bugsy,1991,6.495426096977202,0.3045739030227974
tt0101518,4.5,1379,Bullseye!,1990,5.729680879760995,-1.2296808797609948
tt0101523,5.4,8353,The Butcher's Wife,1991,6.095777059660493,-0.6957770596604931
tt0101524,6.5,1563,By the Sword,1991,5.903792865033863,0.5962071349661366
tt0101526,7.3,1454,Börn náttúrunnar,1991,6.679539935634481,0.6204600643655187
tt0101529,6.9,1115,Cabeza de Vaca,1991,6.695181887835845,0.20481811216415569
tt0101531,6.5,5489,Cadence,1990,6.534000195839415,-0.034000195839414715
tt0101540,7.3,183337,Cape Fear,1991,7.654555225235393,-0.3545552252353934
tt0101545,5.9,13003,Career Opportunities,1991,6.377528547007369,-0.4775285470073687
tt0101587,6.8,52988,City Slickers,1991,6.3687196083356685,0.4312803916643313
tt0101588,7.3,2440,City of Hope,1991,6.763367227343155,0.5366327726568452
tt0101590,6.4,7328,Class Action,1991,6.164239505993447,0.23576049400655297
tt0101595,6.3,3184,Close My Eyes,1991,6.548978193105013,-0.248978193105013
tt0101597,7.1,2764,Closet Land,1991,6.41920907636972,0.6807909236302798
tt0101605,7.6,34177,The Commitments,1991,7.538934599758964,0.061065400241036016
tt0101606,5.6,2737,Company Business,1991,6.368934448297247,-0.7689344482972471
tt0101616,6.6,5081,Coolie No. 1,1995,5.826391787060958,0.7736082129390418
tt0101625,5.9,4306,Once Upon a Crime...,1992,5.4344462843834025,0.46555371561659786
tt0101629,6.0,1015,Crooked Hearts,1991,6.5261238652074365,-0.5261238652074365
tt0101632,7.7,1105,Csapd le csacsi!,1991,7.322803541590449,0.37719645840955085
tt0101635,5.9,21116,Curly Sue,1991,5.971851007371915,-0.0718510073719143
tt0101640,8.1,31206,Dà hóng denglong gaogao guà,1991,7.155641835803223,0.9443581641967764
tt0101649,8.5,11227,Thalapathi,1991,8.328058455767753,0.17194154423224717
tt0101660,5.8,3640,The Dark Backward,1991,5.616180809623516,0.1838191903764841
tt0101669,6.9,27112,Dead Again,1991,6.7274038210848435,0.17259617891515688
